Drive,Total Size,Free Size
C:\Users\Joe\Documents\code\drive_scraper,476.31 GB,475.75 GB
File,Size,%
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1f\dcdb6c75d903b4dc9b2a7cac60ecf1bfa95d40,135.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1f\e1d1dfe1e261846f2893a79b1df0fa753b72e4,236.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\20\6e50fdbaea528ae7002f132bc6965dc9b11cc8,282.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\21\1ad5cdedc46af85d55692f23c2dba5c17ed768,109.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\21\2aae1803f1d3494a1c3936faf2e332e0f94250,474.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\21\2ab2d72b2a04818b14ead611ecd4611efc49f3,214.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\21\440487bb20e51793ab65eba12b9ebf47575e0a,136.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\21\45ed2028d89b076e7573a20e95ad0602fd71e2,357.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\21\59b10f90d15898cdd6c58b174cf4fbc3081511,486.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\22\a4371ac00d85735f49d116861e851c72e0b893,528.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\22\ad082385d9ab15cba887e44a3ef8d294dca2fd,420.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\22\af44f58cbd514ba7b9a856f716a5dac0f0f1b2,170.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\22\b50f98d815e2c34d854e269bf9edac896d3b86,69.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\23\275ca4a3c58cee3a79c791b1d6ecbd0a48323a,143.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\23\7b3e571775b7b121c0cb249996ada2077ca17a,163.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\23\bd1a73c640cd436b159245e0dda0d18202d38f,314.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\23\f68e7a9ab7cb33f91c859340be481c7dcb45c5,130.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\24\49929020376cb34706111382eb0e4a6fafeeb1,456.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\24\7517b76b451947baa709a2576646b871a6d969,94.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\24\c462d2b38d31014db0378c0c52f866c35ccf28,88.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\24\cc5b7656a369e2c3bd9fdc76d12af6aeedef34,324.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\25\5ba950613171f1446fb8a027685af83f4e9e19,123.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\25\f2a614511de013c1bdfde3ab96370a0f65955b,427.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\25\f62c5a76438fa36b7912acde32fc3b5fa44c40,691.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\26\5ee140539dece69daac33b51f497fd2db54945,269.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\26\66a2ffad48f1311089179755b20abb9a6f95f2,249.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\26\7a609cd858ae0ec4dd0ac0f1e7735866e1e5a9,214.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\27\60ffc2dbc9f559e65f1b0fcf2347e115f8099a,385.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\27\8006324fa811669d7858189b23ad9e8335fd7e,685.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\27\884a037fa4bc2dc2def6954941e0742cebb8d2,348.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\27\bac4d45a0439b04f9d55f07e939f61ee76d206,236.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\27\d9abdafc5c3f19bb3d7a0da4b6e6a4f8706348,251.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\27\f4edfdae489793d5b0b4e7b14c3baf6f2071e6,167.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\28\ddeefcb8659bff8dacc252fb734883aed9b03c,128.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\29\8456a31c43e5d2a382b27c7be3a2964f3bdd58,1.71 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2a\00569bb470210ee855e3a362596f99be5a4853,349.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2a\dcb3d896e70241de713d43a01dab84a1fda1fc,235.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2b\30ee0dd541f9870e308deca12121a5676451cb,219.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2b\6ca887f35bd7c064e203220c6af27dd26edc47,190.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2b\921f932523fee8bb98f86cbaa379758bcd0179,170.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2b\e0aca88d99d2b420b3e9c75b6ce78af4d6babc,370.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2c\6ef2531aad8df65176caaf088ff92385148ef0,453.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2c\74b8e9f639541e4757db12a6043cec28a368a2,325.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2c\7654137a7ade0403f9a082d102ad78e5715249,143.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2d\76a230bdb26d625cf35e5baa865ef56c6128c6,198.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2d\febd541ae9a7a29d65993abcaea96e26079ce0,334.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2e\1bf37015a7ae15ea9326f69ee7b65a3e389870,454.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2e\4f4771c3a612d3af357ee921255f58c87712e2,113.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2e\792d508b5a1eb1a9da29b3054f9a52b24fbf7e,284.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2e\833f45970d4881989883238b4ecf783862d766,137.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2f\5d399458ae44a472675a4e7d3166f88a7cc9e1,206.0 B,0.0 %
